PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD2;14;Beshbelchir-Zhany Zher Ulan;Бешбелчир - Жаны Жер Улан;Бешбелчир - Жаны Жер Улан;21;loc
RD2;15;Osh-Sary Tash-Irkeshtam ;Ош - Сары Таш - Иркештам;Ош - Сары Таш - Иркештам;34;inter
RD2;15;Osh-Isfana 0-30 km ;Ош - Исфана 0-30км;Ош - Исфана 0-30км;35;inter
RD2;15;Osh-Tashkent 0-5 km ;Ош - Ташкент 0-5 км;Ош - Ташкент 0-5 км;5;inter
RD2;15;Osh-Aravan-Chekabad 0-2,6 km ;Ош - Араван - Чекабад 0-2,6км;Ош - Араван - Чекабад 0-2,6км;2,6;inter
RD2;15;Osh-Kara Suu-Myrzake 0-6 km;Ош - Кара Суу - Мырзаке 0-6км;Ош - Кара Суу - Мырзаке 0-6км;6;inter
RD2;15;Osh-Airport;Ош - Аэропорт;Ош - Аэропорт;5;nat
RD2;15;Bypass Osh c.;Объездная догора города Ош;Объездная догора города Ош;17;nat
RD2;15;Osh-Toloykon;Ош - Толойкон;Ош - Толойкон;15;nat
RD2;15;Osh-Ozgur;Ош - Озгур;Ош - Озгур;10;nat
RD2;15;Ak-Terek-Papan-Kozhokelen;Ак Терек - Папан - Кожокелен;Ак Терек - Папан - Кожокелен;100;nat
RD2;15;Kalinin-Ozgor ;Калинин - Озгор;Калинин - Озгор;10;loc
RD2;15;Osh-Kenesh ;Ош - Кенеш;Ош - Кенеш;9;loc
RD2;15;Bypass Osh c.-Kyzyl-Bayrak ;Объездная города Ош - Кызы Байрак;Объездная города Ош - Кызы Байрак;10;loc
RD2;15;Aravan highway - Uchar v. ;Араванское Шоссе - село Учар;Араванское Шоссе - село Учар;5;loc
RD2;15;Cult. Center Chogom-Tan ;Культурные центр Чогом Тан;Культурные центр Чогом Тан;25;loc
RD2;18;Cult. Center Kichik-Alai ;Культурный центр Кичик Алай;Культурный центр Кичик Алай;17;loc
RD2;18;8 km Osh-Aravan - Teeke v.;8 км Ош - Араван - Тиите;9 км Ош - Араван - Тиите;1,2;loc
