PLUAD_name;DEP_num;Road_num;NameEn;NameRus;NameKg;Length;NumberOfBridge;type;
RD2;15;12;Kulttsentr-Tuurasuu ;Культцентр - Туурасуу;Культцентр - Туурасуу;40;;loc;
RD2;15;13;Koshdobo-Bychan ;Кошдобо - Бычан;Кошдобо - Бычан;30;;loc;
RD2;15;14;Alabuka-Kazarman (does not exist) ;Алабука - Казарман (не существует);Алабука - Казарман (не существует);48,5;;loc;
RD2;15;15;Akchiy-Sarybel ;Акчий - Сарыбел;Акчий - Сарыбел;35;;loc;
RD2;15;16;Son Kol-Kara Keche pass.;Сон Кол - Перевал Кара Кече;Сон Кол - Перевал Кара Кече;21;;loc;
RD2;18;2;Kazarman-Aktalchat ;Казарман - Акталчат;Казарман - Акталчат;99;0;nat;
RD2;18;3;Jalalabat-Kazarman;Жалад-Абад - Казарман;Жалад-Абад - Казарман;52;2;nat;
RD2;18;34;Kazarman-Akmoynok ;Казарман - Акмойнок;Казарман - Акмойнок;50;;loc;
RD2;18;35;Birdik-Aral-Karl Marx ;Бирдик - Арал - Карл Маркс;Бирдик - Арал - Карл Маркс;14;;loc;
RD2;18;36;Kirov-Ornok-Dodomol ;Киров - Орнок - Додомол;Киров - Орнок - Додомол;34;;loc;
RD2;18;37;Chatkaragay-Kaarmantuz ;Чаткарагай - Каармантуз;Чаткарагай - Каармантуз;40;;loc;
RD2;18;38;Beshkol stow;Урочище Бешкол ;Урочище Бешкол ;12;;loc;
RD2;20;17;At Bashy-Kynda-Torugart;Ат Башы - Кында - Торугарт;Ат Башы - Кында - Торугарт;225;11;nat;
RD2;20;18;Aksay-Ortokashkasuu;Аксай - Ортокашкасуу;Аксай - Ортокашкасуу;92;0;nat;
RD2;20;19;Char-Akmuz 0-5km;Чар - Акмуз 0-5 км;Чар - Акмуз 0-5 км;15;1;nat;
RD2;20;17;Kulzhabashy-Kokkyya;Кулжабашы - Коккыя;Кулжабашы - Коккыя;25;;loc;
